site,st,ed,dtH,Obs,DEHM_noBD,DEHM_BD,EMEP_noBD,EMEP_BD
SE0022R,2018-01-16 00:00:00,2018-01-17 00:00:00,24.0,0.66,0.6957409619069098,0.7414441400037705,0.27697499999999997,0.27987500000000004
SE0022R,2018-01-17 00:00:00,2018-01-18 00:00:00,24.0,0.42,0.4964456913034616,0.5354992406089604,0.23614583333333336,0.24501666666666666
SE0022R,2018-01-18 00:00:00,2018-01-19 00:00:00,24.0,0.75,0.44522869179102925,0.4641847694745856,0.24331666666666665,0.24585833333333332
SE0022R,2018-01-19 00:00:00,2018-01-20 00:00:00,24.0,0.72,0.43054394834038323,0.4451248859939652,0.27265,0.26885833333333337
SE0022R,2018-01-20 00:00:00,2018-01-21 00:00:00,24.0,0.56,0.2655505530815337,0.2737746988605276,0.15386666666666668,0.15387916666666668
SE0022R,2018-01-21 00:00:00,2018-01-22 00:00:00,24.0,0.36,0.2302971937375692,0.2375162822490806,0.18738749999999996,0.186075
SE0022R,2018-01-22 00:00:00,2018-01-23 00:00:00,24.0,0.07,0.09018750461495147,0.09480264999426717,0.14830000000000002,0.14757083333333332
SE0022R,2018-01-23 00:00:00,2018-01-24 00:00:00,24.0,0.47,0.4713924163436077,0.48508454211742996,0.35742916666666663,0.35830416666666665
SE0022R,2018-01-24 00:00:00,2018-01-25 00:00:00,24.0,0.19,0.13422575713891707,0.1385650903459171,0.06622083333333333,0.06543333333333333
SE0022R,2018-01-25 00:00:00,2018-01-26 00:00:00,24.0,0.05,0.040630643368436366,0.042035325855277916,0.03329583333333334,0.03150833333333333
SE0022R,2018-01-26 00:00:00,2018-01-27 00:00:00,24.0,0.1,0.06500574412318673,0.06580792851315252,0.08541666666666665,0.08342500000000001
SE0022R,2018-01-27 00:00:00,2018-01-28 00:00:00,24.0,0.08,0.12227615204540578,0.1225680228335015,0.0378625,0.035887499999999996
SE0022R,2018-01-28 00:00:00,2018-01-29 00:00:00,24.0,0.13,0.08590384444928263,0.08571411533429386,0.08698333333333334,0.08925
SE0022R,2018-01-29 00:00:00,2018-01-30 00:00:00,24.0,0.14,0.15360250520540322,0.15065929600076985,0.14747083333333333,0.14696666666666666
SE0022R,2018-01-30 00:00:00,2018-01-31 00:00:00,24.0,0.14,0.13243399302957068,0.13466768071861612,0.15270833333333333,0.15149583333333333
SE0022R,2018-01-31 00:00:00,2018-02-01 00:00:00,24.0,0.07,0.10057737168927332,0.10233503283919748,0.06885000000000001,0.06543333333333333
SE0022R,2018-02-01 00:00:00,2018-02-02 00:00:00,24.0,0.04,0.04004538747544415,0.03990983518967799,0.0398,0.039266666666666665
SE0022R,2018-02-02 00:00:00,2018-02-03 00:00:00,24.0,0.3,0.09873367445254111,0.09891303412378179,0.148175,0.14810416666666668
SE0022R,2018-02-03 00:00:00,2018-02-04 00:00:00,24.0,0.47,0.18071585257073144,0.18176037226502526,0.26445833333333335,0.26390833333333336
SE0022R,2018-02-04 00:00:00,2018-02-05 00:00:00,24.0,0.32,0.46061289262147603,0.4669507087913713,0.1909833333333333,0.19115000000000001
SE0022R,2018-02-05 00:00:00,2018-02-06 00:00:00,24.0,0.19,0.3135153164943501,0.32259804309070544,0.20165833333333336,0.19490416666666666
SE0022R,2018-02-06 00:00:00,2018-02-07 00:00:00,24.0,0.25,0.3203183201518094,0.3286142656555025,0.20005833333333334,0.19743750000000002
SE0022R,2018-02-07 00:00:00,2018-02-08 00:00:00,24.0,0.15,0.21872934722430062,0.22450368267146747,0.11691249999999999,0.11911666666666666
SE0022R,2018-02-08 00:00:00,2018-02-09 00:00:00,24.0,0.19,0.12718734019166586,0.12942928114929814,0.11125416666666667,0.10840416666666668
SE0022R,2018-02-09 00:00:00,2018-02-10 00:00:00,24.0,0.16,0.3270516235079872,0.3297912119773526,0.11038333333333333,0.10942916666666667
SE0022R,2018-02-10 00:00:00,2018-02-11 00:00:00,24.0,0.24,0.34457602831423556,0.34650826954189434,0.138725,0.1391
