site,st,ed,dtH,Obs,EMEP_noBD,EMEP_BD,MATCH_noBD,MATCH_BD
DK0012R,2019-04-22 07:00:00,2019-04-23 07:00:00,24.0,0.764,0.20976666666666666,0.20677916666666665,0.3454,0.34399583333333333
DK0012R,2019-04-23 07:00:00,2019-04-24 07:00:00,24.0,1.999,0.41864166666666663,0.42306666666666665,0.8100124999999999,0.8011708333333333
DK0012R,2019-04-24 07:00:00,2019-04-25 07:00:00,24.0,1.998,0.43485833333333335,0.4337583333333333,0.7551041666666668,0.7535208333333333
DK0012R,2019-04-25 07:00:00,2019-04-26 07:00:00,24.0,1.198,0.37344166666666667,0.37024583333333333,0.37030416666666666,0.37030416666666666
DK0012R,2019-04-26 07:00:00,2019-04-27 07:00:00,24.0,1.275,0.34203750000000005,0.34117916666666664,0.33929583333333335,0.33937083333333334
DK0012R,2019-04-27 07:00:00,2019-04-28 07:00:00,24.0,0.2,0.08569583333333332,0.087525,0.08506666666666667,0.08518333333333333
DK0012R,2019-04-28 07:00:00,2019-04-29 07:00:00,24.0,0.412,0.15985,0.159425,0.1482,0.14811666666666667
DK0012R,2019-04-29 07:00:00,2019-04-30 07:00:00,24.0,0.659,0.17785416666666667,0.1767458333333333,0.3696,0.36770416666666667
DK0012R,2019-04-30 07:00:00,2019-05-01 07:00:00,24.0,1.285,0.37943333333333334,0.37975833333333336,0.46488749999999995,0.46307499999999996
DK0012R,2019-05-01 07:00:00,2019-05-02 07:00:00,24.0,0.441,0.3273458333333334,0.32719583333333335,0.3978375,0.3966875
DK0012R,2019-05-02 07:00:00,2019-05-03 07:00:00,24.0,0.216,0.11680416666666665,0.11789166666666666,0.1337458333333333,0.13371666666666668
DK0012R,2019-05-03 07:00:00,2019-05-04 07:00:00,24.0,0.206,0.09197916666666667,0.09264583333333333,0.03594166666666667,0.03595416666666667
DK0012R,2019-05-04 07:00:00,2019-05-05 07:00:00,24.0,0.246,0.0708625,0.07060416666666666,0.06211666666666666,0.06213749999999999
DK0012R,2019-05-05 07:00:00,2019-05-06 07:00:00,24.0,0.374,0.11928333333333334,0.11991666666666667,0.16023333333333334,0.16026666666666667
DK0012R,2019-05-06 07:00:00,2019-05-07 07:00:00,24.0,0.226,0.08892916666666667,0.08935,0.06395833333333334,0.06395833333333334
DK0012R,2019-05-07 07:00:00,2019-05-08 07:00:00,24.0,0.273,0.0800125,0.081275,0.057191666666666675,0.05718333333333333
DK0012R,2019-05-08 07:00:00,2019-05-09 07:00:00,24.0,1.1,0.3365208333333333,0.3396791666666667,0.3790625,0.3813125000000001
DK0012R,2019-05-09 07:00:00,2019-05-10 07:00:00,24.0,0.527,0.30196666666666666,0.30033333333333334,0.24998750000000003,0.25051666666666667
DK0012R,2019-05-10 07:00:00,2019-05-11 07:00:00,24.0,0.345,0.13480416666666664,0.13479583333333334,0.14078333333333334,0.14122916666666666
DK0012R,2019-05-11 07:00:00,2019-05-12 07:00:00,24.0,0.246,0.10409583333333335,0.1044375,0.054933333333333334,0.05496666666666667
DK0012R,2019-05-12 07:00:00,2019-05-13 07:00:00,24.0,0.255,0.08076666666666667,0.07954583333333333,0.08434583333333333,0.0844875
DK0012R,2019-05-13 07:00:00,2019-05-14 07:00:00,24.0,0.295,0.09682916666666667,0.0928125,0.16003333333333333,0.16007083333333336
DK0012R,2019-05-14 07:00:00,2019-05-15 07:00:00,24.0,0.281,0.05522916666666666,0.05564583333333333,0.15058333333333332,0.15082083333333332
DK0012R,2019-05-15 07:00:00,2019-05-16 07:00:00,24.0,0.303,0.06534166666666667,0.06513333333333333,0.15140833333333334,0.15147083333333333
DK0012R,2019-05-16 07:00:00,2019-05-17 07:00:00,24.0,0.372,0.08120416666666667,0.08109166666666666,0.129075,0.12930833333333333
DK0012R,2019-05-17 07:00:00,2019-05-18 07:00:00,24.0,0.223,0.15636666666666668,0.1562125,0.10447499999999998,0.10388333333333333
DK0012R,2019-05-18 07:00:00,2019-05-19 07:00:00,24.0,0.583,0.405425,0.4047125,0.4802,0.4850125
DK0012R,2019-05-19 07:00:00,2019-05-20 07:00:00,24.0,0.462,0.15778333333333336,0.15879583333333333,0.23623750000000002,0.23605416666666668
