LC,LAI,SAI,T2,RH,VPD,PS,ZEN,RAIN,dsnow,PARdbh,PARdif,PARsun,PARshade,Hd,LE,UREF,USTmod,UST,LAIsunfrac,Fphen,Flight,Fsun,Ftemp,Fvpd,FSW,Fenv,gsto,gsun,FstO3,Ra,Rb,Gns,Gsto,Rsur,Vg3NH3,NH3_ppb,Time
9,2.021,2.521,5.123,0.598,0.354,1031.0,123.2,0.0,3.469e-16,0.0,0.0,0.0,0.0,-68.14,9.89,5.967,0.6138,0.3311,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.44,20.64,0.005,0.0,200.0,0.003931,4.98,2019-01-02 04:00:00
9,2.021,2.521,4.92,0.617,0.333,1031.0,113.9,0.0,3.469e-16,0.0,0.0,0.0,0.0,-68.14,9.89,5.749,0.6136,0.319,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,56.51,21.43,0.005,0.0,200.0,0.0039,5.774,2019-01-02 05:00:00
9,2.021,2.521,4.716,0.635,0.312,1031.0,104.8,0.001486,3.469e-16,0.0,0.0,0.0,0.0,-46.95,12.1,5.537,0.5528,0.3084,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.23,22.17,0.005,0.0,200.0,0.003871,7.121,2019-01-02 06:00:00
9,2.021,2.521,4.996,0.638,0.316,1032.0,96.32,0.001486,3.469e-16,0.0,0.0,0.0,0.0,-46.95,12.1,5.468,0.5529,0.3045,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.96,22.44,0.005,0.0,200.0,0.00386,8.828,2019-01-02 07:00:00
9,2.021,2.521,5.276,0.641,0.32,1032.0,88.69,0.001486,3.469e-16,0.001693,4.078,1.836,1.799,-46.95,12.1,5.401,0.553,0.3009,0.02263,1.0,0.07136,0.07274,0.01,1.0,1.0,0.0007136,4.461e-06,4.547e-06,0.0,59.67,22.72,0.005,1.236e-05,199.5,0.003856,10.93,2019-01-02 08:00:00
9,2.021,2.521,5.557,0.643,0.324,1033.0,82.32,0.002574,3.469e-16,8.728,28.2,45.59,12.92,-9.813,32.94,5.337,0.5846,0.3134,0.1321,1.0,0.4697,0.8467,0.01,1.0,1.0,0.004697,2.939e-05,5.297e-05,0.0,54.34,21.81,0.005,8.146e-05,196.8,0.003938,12.75,2019-01-02 09:00:00
9,2.021,2.521,5.806,0.643,0.33,1033.0,77.61,0.002574,3.469e-16,23.87,49.42,78.65,23.01,-9.813,32.94,5.242,0.5848,0.3078,0.2103,1.0,0.6853,0.9606,0.01,1.0,1.0,0.006853,4.291e-05,6.016e-05,0.0,55.32,22.2,0.005,0.000119,195.4,0.003944,13.5,2019-01-02 10:00:00
9,2.021,2.521,6.055,0.642,0.336,1033.0,74.92,0.002574,3.469e-16,33.77,61.31,93.6,28.69,-9.813,32.94,5.148,0.5851,0.3023,0.2521,1.0,0.7648,0.9787,0.01,1.0,1.0,0.007648,4.794e-05,6.134e-05,0.0,56.33,22.61,0.005,0.0001329,194.8,0.003936,13.69,2019-01-02 11:00:00
9,2.021,2.521,6.304,0.641,0.343,1033.0,74.49,0.0,3.469e-16,79.21,55.7,176.5,28.38,-9.096,44.97,5.054,0.5161,0.2956,0.2585,1.0,0.7691,0.9993,0.01,1.0,1.0,0.007691,4.825e-05,6.269e-05,0.0,57.84,23.12,0.005,0.0001337,194.8,0.003915,13.76,2019-01-02 12:00:00
9,2.021,2.521,5.905,0.655,0.321,1034.0,76.37,0.0,3.469e-16,63.48,50.58,160.1,25.47,-9.096,44.97,4.5,0.5156,0.2632,0.23,1.0,0.7295,0.9986,0.01,1.0,1.0,0.007295,4.57e-05,6.256e-05,0.0,64.97,25.97,0.005,0.0001267,195.1,0.0038,14.11,2019-01-02 13:00:00
9,2.021,2.521,5.506,0.668,0.3,1034.0,80.37,0.0,3.469e-16,32.45,37.97,115.5,18.48,-9.096,44.97,3.951,0.5151,0.231,0.1651,1.0,0.6081,0.9913,0.01,1.0,1.0,0.006081,3.804e-05,6.201e-05,0.0,74.01,29.59,0.005,0.0001055,195.9,0.003657,14.05,2019-01-02 14:00:00
9,2.021,2.521,5.107,0.682,0.28,1035.0,86.17,0.0,3.469e-16,2.364,15.96,24.88,7.179,-44.02,4.778,3.408,0.3239,0.1545,0.06606,1.0,0.2811,0.6406,0.01,1.0,1.0,0.002811,1.756e-05,4.002e-05,0.0,142.7,44.24,0.005,4.867e-05,198.1,0.003155,13.6,2019-01-02 15:00:00
9,2.021,2.521,4.278,0.697,0.251,1035.0,93.38,0.0,3.469e-16,0.0,0.0,0.0,0.0,-44.02,4.778,3.649,0.3234,0.1653,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,133.6,41.36,0.005,0.0,200.0,0.003213,13.3,2019-01-02 16:00:00
9,2.021,2.521,3.448,0.712,0.226,1035.0,101.6,0.0,3.469e-16,0.0,0.0,0.0,0.0,-44.02,4.778,3.898,0.3228,0.1764,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,125.3,38.76,0.005,0.0,200.0,0.003287,12.75,2019-01-02 17:00:00
